id,hebrew,transliterated
28664,עצמו לנוכח החשדות המיוחסים לו,ycmw lnwkx hxedwt hmiwxsim lw
28665,הוא הוסיף כי אין ברצונו לפגוע בחיל האוויר,hwa hwsip ki ain brcwnw lpgwy bxil hawwir
28666,בחיל האוויר קיבלו בסיפוק את בקשתו של,bxil hawwir qiblw bsipwq at bqetw el
28667,דותן להשתחרר מתפקידו,dwtn lhetxrr mtpqidw
28668,ימים מספר משמש קצין בדרגת,imim mspr meme qcin bdrgt
28669,כממלא מקומו של דותן,kmmla mqwmw el dwtn
28670,עקב מעצרו של,yqb mycrw el
28671,נערכו לאחרונה בדיקות לגבי לרכישת ציוד בחיל,nyrkw laxrwnh bdiqwt lgbi lrkiet ciwd bxil
28672,וניתנו הנחיות חדשות,wnitnw hnxiwt xdewt
28673,מגעים של קצינים מחיל האוויר עם גורמים זרים וחברות אזרחיות,mgyim el qcinim mxil hawwir ym gwrmim zrim wxbrwt azrxiwt
28674,אתמול,atmwl
28675,מעצרו של,mycrw el
28676,דותן ב ימים נוספים,dwtn b imim nwspim
28677,על,yl
28678,פי בקשתו של קצין משטרה,pi bqetw el qcin mevrh
28679,ראשי,raei
28680,שלום בן,elwm bn
28681,משה,meh
28682,בן,bn
28683,משה גיבש בימים האחרונים,meh gibe bimim haxrwnim
28684,להאריך את המעצר,lharik at hmycr
28685,כיוון שדותן אינו משתף פעולה עם חוקריו,kiwwn edwtn ainw metp pywlh ym xwqriw
28686,המשטרה,hmevrh
28687,סבורה כי יש להאריך את המעצר על,sbwrh ki ie lharik at hmycr yl
28688,מנת שתוכל לאסוף ראיות נוספות,mnt etwkl laswp raiwt nwspwt
28689,להארכת המעצר הובא לידיעת,lharkt hmycr hwba lidiyt
28690,באמצעות פרקליטת חיל האוויר,bamcywt prqlivt xil hawwir
28691,מקורות,mqwrwt
28692,לחקירה מסרו כי אין ספק שבקרוב יועבר כל חומר החקירה לפרקליט הצבאי הראשי,lxqirh msrw ki ain spq ebqrwb iwybr kl xwmr hxqirh lprqliv hcbai hraei
28693,כדי שיבחן אם יש מקום להגישת כתב אישום נגד דותן,kdi eibxn am ie mqwm lhgiet ktb aiewm ngd dwtn
28694,הם הוסיפו כי,hm hwsipw ki
28695,המשטרה הצבאית והאזרחית עובדים בשיתוף פעולה בחקירה,hmevrh hcbait whazrxit ywbdim beitwp pywlh bxqirh
28696,וכי עד כה נאסף,wki yd kh nasp
28697,רב והחוקרים עוסקים עתה בבדיקתו ובאיסוף נתונים נוספים,rb whxwqrim ywsqim yth bbdiqtw wbaiswp ntwnim nwspim
28698,לפני כמה,lpni kmh
28699,שוחררו ממעצרם עורך הדין הרולד כץ ויורם אינגביר,ewxrrw mmycrm ywrk hdin hrwld kc wiwrm aingbir
28700,האזרחים שהיו,hazrxim ehiw
28701,בפרשת דותן ונחשדו בקבלת טובות ההנאה,bpret dwtn wnxedw bqblt vwbwt hhnah
28702,ע,y
28703,לא נסכים לעבור להתגורר בבתי מלון,la nskim lybwr lhtgwrr bbti mlwn
28704,אנחנו לא מאמינים,anxnw la maminim
28705,אחד,axd
28706,המדינה מנסה לסדר אותנו,hmdinh mnsh lsdr awtnw
28707,יעבירו אותנו לבית מלון,iybirw awtnw lbit mlwn
28708,ומיד,wmid
28709,בולדוזרים ויהרסו את כל האוהלים במעברה,bwldwzrim wihrsw at kl hawhlim bmybrh
28710,יעברו כמה חודשים ואז יחליטו,iybrw kmh xwdeim waz ixlivw
28711,אותנו,awtnw
28712,ושוב נישאר חסרי דיור,wewb niear xsri diwr
28713,לכן,lkn
28714,אנחנו לא זזים מכאן,anxnw la zzim mkan
28715,לא,la
28716,ולא לפלאזה,wla lplazh
28717,כך אומרים במעברת הכנסת,kk awmrim bmybrt hknst
28718,שם נמצא ריכוז חסרי הדיור,em nmca rikwz xsri hdiwr
28719,בירושלים,birwelim
28720,בתגובה על החלטת שר הבינוי והשיכון לשכן את  משפחות,btgwbh yl hxlvt er hbinwi wheikwn lekn at  mepxwt
28721,הדיור בכל רחבי הארץ בבתי מלון,hdiwr bkl rxbi harc bbti mlwn
28722,במעברת הכנסת מתגוררות  משפחות,bmybrt hknst mtgwrrwt  mepxwt
28723,ל נפשות,l npewt
28724,עיריית ירושלים סיפקה לחסרי הדיור  אוהלים גדולים,yiriit irwelim sipqh lxsri hdiwr  awhlim gdwlim
28725,אותם על משטחי בטון שיצקה,awtm yl mevxi bvwn eicqh
28726,עם זאת,ym zat
28727,כמה משפחות עדיין מתגוררות,kmh mepxwt ydiin mtgwrrwt
28728,רשת קרועים,ret qrwyim
28729,והן סבלו במיוחד מהגשמים הראשונים שירדו בימים האחרונים,whn sblw bmiwxd mhgemim hraewnim eirdw bimim haxrwnim
28730,הרוח העיפה אוהלים אחדים,hrwx hyiph awhlim axdim
28731,ואחרים הוצפו מים,waxrim hwcpw mim
28732,העירייה התקינה גם מקלחות,hyiriih htqinh gm mqlxwt
28733,אך במעברה נרתעים מהשימוש בהן,ak bmybrh nrtyim mheimwe bhn
28734,כי המים קרים,ki hmim qrim
28735,במעברת הכנסת תמימי,bmybrt hknst tmimi
28736,שיש לסרב להצעה לעבור לבתי מלון,eie lsrb lhcyh lybwr lbti mlwn
28737,עם זאת הם מביעים נכונות להתפשר,ym zat hm mbiyim nkwnwt lhtper
28738,תינתן להם הבטחה בכתב שבתי המלון הם פתרון זמני ושלאחריו יקבלו המשפחות,tintn lhm hbvxh bktb ebti hmlwn hm ptrwn zmni welaxriw iqblw hmepxwt
28739,קבע,qby
28740,במעברה שבגן הוורדים הסמוך למשכן הכנסת נשמעה תגובה אופטימית,bmybrh ebgn hwwrdim hsmwk lmekn hknst nemyh tgwbh awpvimit
28741,להצעת שר הבינוי והשיכון,lhcyt er hbinwi wheikwn
28742,בגן הוורדים,bgn hwwrdim
28743,שבו חויבו חסרי הדיור לחתום,ebw xwibw xsri hdiwr lxtwm
28744,חוזה שכירות לאוהלים שסיפקה העירייה,xwzh ekirwt lawhlim esipqh hyiriih
28745,שוהים כחמישים איש,ewhim kxmieim aie
28746,אנו,anw
28747,קודם כל על הילדים שלנו ולא על עקרונות,qwdm kl yl hildim elnw wla yl yqrwnwt
28748,אם יציעו בית מלון נלך,am iciyw bit mlwn nlk
28749,זה,zh
28750,יהיה יותר טוב לילדים,ihih iwtr vwb lildim
28751,אומרים במקום,awmrim bmqwm
28752,ומבטיחים שאם יפונו מבתי,wmbvixim eam ipwnw mbti
28753,בעוד חודשים אחדים,bywd xwdeim axdim
28754,הם יחזרו להתגורר באוהלים,hm ixzrw lhtgwrr bawhlim
28755,גידול שהעיתון,gidwl ehyitwn
28756,וול סטריט גורנל,wwl svriv gwrnl
28757,מכנה,mknh
28758,גידול לכאורה,gidwl lkawrh
28759,פושרות,pwerwt
28760,הרווחיות הושפעה ממספר רב של גורמים,hrwwxiwt hwepyh mmspr rb el gwrmim
28761,בין היתר מהעובדה כי,bin hitr mhywbdh ki
28762,הפרישו בתקופה המקבילה אשתקד  מיליארד דולר לחובות אבודים,hpriew btqwph hmqbilh aetqd  miliard dwlr lxwbwt abwdim
28763,לעומת,lywmt
28764,יותר נמוך השנה עובדה שסייעה לשיפור התוצאות,iwtr nmwk henh ywbdh esiiyh leipwr htwcawt
28765,העלייה במחירי הנפט,hyliih bmxiri hnpv
28766,אף היא לכמה חברות העוסקות בתחום זה,ap hia lkmh xbrwt hywsqwt btxwm zh
28767,לעומת שני גורמים אלה,lywmt eni gwrmim alh
28768,הרי,hri
28769,גדולות לכיסוי סגירת מפעלים על,gdwlwt lkiswi sgirt mpylim yl
28770,ידי גנרל מוטורס גרמו להרעת התוצאות הכוללות,idi gnrl mwvwrs grmw lhryt htwcawt hkwllwt
28771,ההערכות לגבי הרבעונים הבאים הן שכלכלת,hhyrkwt lgbi hrbywnim hbaim hn eklklt
28772,נכנסת למיתון,nknst lmitwn
28773,והדבר,whdbr
28774,לידי ביטוי בעתיד,lidi bivwi bytid
28775,ההכנסות המצרפיות של  החברות הנכללות במדגם מראה,hhknswt hmcrpiwt el  hxbrwt hnkllwt bmdgm mrah
28776,ברבעון השלישי של השנה נרשמה עלייה של,brbywn heliei el henh nremh yliih el
28777,ברווחי החברות,brwwxi hxbrwt
28778,לעומת ירידה,lywmt iridh
28779,ברבעון השני של השנה,brbywn heni el henh
28780,במהלך השנה הושפעו רווחי החברות מן העובדה,bmhlk henh hwepyw rwwxi hxbrwt mn hywbdh
28781,הצמיחה בארצות,hcmixh barcwt
28782,הברית איטית מאוד,hbrit aivit mawd
28783,עלות העבודה והכסף נמצאים בעלייה,ylwt hybwdh whksp nmcaim byliih
28784,וקיימת תחרות קשה במחירים,wqiimt txrwt qeh bmxirim
28785,הענפים הרווחיים,hynpim hrwwxiim
28786,היו,hiw
28787,מתכות,mtkwt
28788,084,084
28789,ביו,biw
28790,טכנולוגיה,vknwlwgih
28791,551,551
28792,פחם,pxm
28793,631,631
28794,ריהוט ביתי,rihwv biti
28795,921,921
28796,נפט,npv
28797,701,701
28798,תעופה,tywph
28799,57,57
28800,מזון,mzwn
28801,36,36
28802,החברות המפסידות ביותר היו,hxbrwt hmpsidwt biwtr hiw
28803,הבאים,hbaim
28804,חלקי חילוף למכוניות,xlqi xilwp lmkwniwt
28805,06,06
28806,השקעה,heqyh
28807,86,86
28808,בנקים,bnqim
28809,87,87
28810,מוליכים למחצה,mwlikim lmxch
28811,97,97
28812,חברות תעופה,xbrwt tywph
28813,88,88
28814,מתכת ופלדה,mtkt wpldh
28815,29,29
28816,חברות הביטוח כלל ביטוח ואררט,xbrwt hbivwx kll bivwx warrv
28817,מקבוצת הביטוח של קונצרן כלל,mqbwct hbivwx el qwncrn kll
28818,קיבלו,qiblw
28819,המפקח על הביטוח במשרד האוצר,hmpqx yl hbivwx bmerd hawcr
28820,גד ארבל,gd arbl
28821,היתר לעסוק בביטוח נזקי טבע בחקלאות,hitr lyswq bbivwx nzqi vby bxqlawt
28822,שתי החברות עומדות להתחיל לפעול בתחום זה,eti hxbrwt ywmdwt lhtxil lpywl btxwm zh
28823,שהיקפו השנתי מוערך בכ51,ehiqpw henti mwyrk bk51
28824,דולר,dwlr
28825,כלל ביטוח ואררט עומדות לחתום בתקופה הקרובה על הסכם ראשון,kll bivwx warrv ywmdwt lxtwm btqwph hqrwbh yl hskm raewn
28826,זה,zh
28827,בו יבטחו את אחת ממועצות הייצור הגדולות בענף,bw ibvxw at axt mmwycwt hiicwr hgdwlwt bynp
28828,מנהלי החברות,mnhli hxbrwt
28829,שבשנה הראשונה הן ינגסו,ebenh hraewnh hn ingsw
28830,מהפעילות בתחום,mhpyilwt btxwm
28831,כלומר ביטוחים בהיקף של כ5,klwmr bivwxim bhiqp el k5
28832,מיליון דולר,miliwn dwlr
28833,ההיתר שניתן לשתי החברות הוא ראשון מסוגו,hhitr enitn leti hxbrwt hwa raewn mswgw
28834,ומהווה,wmhwwh
28835,דרך בתחום שבו שלטה עד כה באופן בלעדי הקרן הממשלתית לביטוח נזקי טבע בחקלאות,drk btxwm ebw elvh yd kh bawpn blydi hqrn hmmeltit lbivwx nzqi vby bxqlawt
28836,משרד האוצר מתכוון להרחיב בעתיד הקרוב את ההיתר לתוכניות ביטוח נוספות,merd hawcr mtkwwn lhrxib bytid hqrwb at hhitr ltwkniwt bivwx nwspwt
28837,ולעודד חקלאים ומועצות חקלאיות להעביר ביטוחים כנגד נזקי טבע בחברות,wlywdd xqlaim wmwycwt xqlaiwt lhybir bivwxim kngd nzqi vby bxbrwt
28838,הציבוריות והפרטיות,hcibwriwt whprviwt
28839,חברת אררט החלה עוד לפני כשנה,xbrt arrv hxlh ywd lpni kenh
28840,בתמיכתם של החקלאים,btmiktm el hxqlaim
28841,את,at
28842,עם האוצר לקבלת היתר ביטוח לנזקי טבע,ym hawcr lqblt hitr bivwx lnzqi vby
28843,בכירים במשרד האוצר,bkirim bmerd hawcr
28844,פעילות בתחום באמצעות משק הביטוח המסחרי,pyilwt btxwm bamcywt meq hbivwx hmsxri
28845,אררט,arrv
28846,שתהיה הלידר של הביטוח,ethih hlidr el hbivwx
28847,התקשרה לצורך ביטוח זה עם מבטחי משנה באנגליה,htqerh lcwrk bivwx zh ym mbvxi menh banglih
28848,שערכו מחקר ממושך על,eyrkw mxqr mmwek yl
28849,הטבע בארץ,hvby barc
28850,בסיומה של עבודה זו נעשתה תוכנית הביטוח החדשה,bsiwmh el ybwdh zw nyeth twknit hbivwx hxdeh
28851,מבטחי,mbvxi
28852,ובכלל זה נציגי לוידס מלונדון,wbkll zh ncigi lwids mlwndwn
28853,יקחו על עצמם,iqxw yl ycmm
28854,מהסיכון,mhsikwn
28855,ביטוחים אלה,bivwxim alh
28856,בהנהלות של כלל ביטוח ואררט מעריכים,bhnhlwt el kll bivwx warrv myrikim
28857,כי מגדלים רבים,ki mgdlim rbim
28858,להעביר את כלל תיק הביטוח שלהם,lhybir at kll tiq hbivwx elhm
28859,הכולל גם כיסוי נזקי טבע,hkwll gm kiswi nzqi vby
28860,לחברת,lxbrt
28861,אחת,axt
28862,כדי להנות מתעריף מוזל גם בעסקי ביטוח אחרים,kdi lhnwt mtyrip mwzl gm bysqi bivwx axrim
28863,יצוין,icwin
28864,עם זאת,ym zat
28865,שהחקלאים ימשיכו להנות בשלב זה מהתמיכה של המדינה בגין נזקי טבע,ehxqlaim imeikw lhnwt belb zh mhtmikh el hmdinh bgin nzqi vby
28866,על,yl
28867,פי הכללים הנהוגים בקרן לנזקי טבע בחקלאות,pi hkllim hnhwgim bqrn lnzqi vby bxqlawt
28868,חברת הטקסטיל יונייטד מרצנט,xbrt hvqsvil iwniivd mrcnv
28869,שמניותיה נסחרות בבורסה של ניויורק,emniwtih nsxrwt bbwrsh el niwiwrq
28870,כחדלת פירעון וקיבלה מעמד של חברה הפועלת במעמד של,kxdlt pirywn wqiblh mymd el xbrh hpwylt bmymd el
28871,צפטר 11,cpvr 11
28872,לה את הגנת בית המשפט מפני תביעה לפשיטת רגל,lh at hgnt bit hmepv mpni tbiyh lpeivt rgl
28873,יונייטד מרצנט,iwniivd mrcnv
28874,בראשה,braeh
28875,הישראלי עוזי רסקין,hierali ywzi rsqin
28876,היא חברת גג אמריקאית,hia xbrt gg amriqait
28877,העוסקת זה שנים בייצור טקסטיל,hywsqt zh enim biicwr vqsvil
28878,אך שולטת גם על מפעלים בענפים נוספים כמו אופנה,ak ewlvt gm yl mpylim bynpim nwspim kmw awpnh
28879,מוצרי פלסטיק וכימיקלים,mwcri plsviq wkimiqlim
28880,בשנת  הסתכם מחזור עסקיה של יונייטד מרצנט במיליארד דולר,bent  hstkm mxzwr ysqih el iwniivd mrcnv bmiliard dwlr
28881,והיא,whia
28882,כ אלף עובדים,k alp ywbdim
28883,באותה שנה השתלטו גורמים ישראלים על החברה לאחר,bawth enh hetlvw gwrmim ieralim yl hxbrh laxr
28884,לרכוש,lrkwe
28885,ממניותיה,mmniwtih
28886,לפעולת ההשתלטות היו אחראים מנהלי חברת פריון בעבר,lpywlt hhetlvwt hiw axraim mnhli xbrt priwn bybr
28887,בראשותו של איש העסקים המנוח מיכאל,braewtw el aie hysqim hmnwx mikal
28888,מיקי,miqi
28889,אלבין,albin
28890,איש העסקים,aie hysqim
28891,עוזי רסקין,ywzi rsqin
28892,שהיה עד אז נציג קונצרן כלל,ehih yd az ncig qwncrn kll
28893,איש העסקים מנחם עצמון,aie hysqim mnxm ycmwn
28894,וחברת ליבורה בשליטת יגאל דיאמנט חתנו של שאול אייזנברג,wxbrt libwrh belivt igal diamnv xtnw el eawl aiiznbrg
28895,בין השנים,bin henim
28896,ל הגדילה קבוצת אייזנברג,l hgdilh qbwct aiiznbrg
28897,באמצעות חברות אחרות הנמצאות בשליטתה,bamcywt xbrwt axrwt hnmcawt belivth
28898,אחזקותיה ביונייטד מרצנט,axzqwtih biwniivd mrcnv
28899,שנוהלה על,enwhlh yl
28900,ידי עוזי רסקין ומנחם עצמון,idi ywzi rsqin wmnxm ycmwn
28901,מונה רסקין לתפקיד נשיא החברה,mwnh rsqin ltpqid neia hxbrh
28902,תפקיד אותו הוא ממלא עד היום,tpqid awtw hwa mmla yd hiwm
28903,מאז 28,maz 28
28904,יונייטד מרצנט זעזועים רבים,iwniivd mrcnv zyzwyim rbim
28905,בחודשים האחרונים נקלעה לקשיים,bxwdeim haxrwnim nqlyh lqeiim
28906,לעמוד בהחזר חובתיה,lymwd bhxzr xwbtih
28907,מצב החברה השפיע גם על מחיר מניותיה,mcb hxbrh hepiy gm yl mxir mniwtih
28908,ואלה,walh
28909,מ דולר למניה לפני המשבר,m dwlr lmnih lpni hmebr
28910,ל עד  סנט כיום,l yd  snv kiwm
28911,למרות המשבר נודע,lmrwt hmebr nwdy
28912,מנחם,mnxm
28913,מנטה,mnvh
28914,עצמון הצליח למכור מניות של יונייטד מרצנט כאשר אלו,ycmwn hclix lmkwr mniwt el iwniivd mrcnv kaer alw
28915,עדיין במחיר שבין  ל דולר למניה,ydiin bmxir ebin  l dwlr lmnih
28916,הופיע בשבוע שעבר בפני חברי התאחדות התעשיינים הם האזינו בקשב רב,hwpiy bebwy eybr bpni xbri htaxdwt htyeiinim hm hazinw bqeb rb
28917,הכלכלית,hklklit
28918,משתתפי הכינוס הגדירו את תוכניתו של השר כאטרקטיווית אך,mettpi hkinws hgdirw at twknitw el her kavrqviwwit ak
28919,מהם הביעו בגלוי ספקות ביכולתה של הממשלה לממש אותה,mhm hbiyw bglwi spqwt bikwlth el hmmelh lmme awth
28920,מי שביטא ספקות,mi ebiva spqwt
28921,טוב מכולם היה שסיפר לנסים את הבדיחה הבאה,vwb mkwlm hih esipr lnsim at hbdixh hbah
28922,יהודי בא,ihwdi ba
28923,וביקש,wbiqe
28924,עין אוזן,yin awzn
28925,אמרו לו בקבלה,amrw lw bqblh
28926,אין רופא כזה,ain rwpa kzh
28927,יש רופא אף אוזן גרון,ie rwpa ap awzn grwn
28928,הוא התעקש והסביר,hwa htyqe whsbir
28929,מה שאני רואה לא מסתדר לי עם מה שאני שומע,mh eani rwah la mstdr li ym mh eani ewmy
28930,לאחר,laxr
28931,הצחוק,hcxwq
28932,הסביר מר חיים לשר,hsbir mr xiim ler
28933,אנחנו מאחלים לך שמה שאנחנו נראה,anxnw maxlim lk emh eanxnw nrah
28934,מהתוכנית שלך יעלה בקנה אחד עם מה ששמענו פה,mhtwknit elk iylh bqnh axd ym mh eemynw ph
28935,וכך ייטב למשק הישראלי,wkk iivb lmeq hierali
28936,קפכותשר האוצר,qpkwter hawcr
28937,יצחק מודעי יהיה היום אורח המינהלה לפיתוח התיירות בנגב,icxq mwdyi ihih hiwm awrx hminhlh lpitwx htiirwt bngb
28938,כדי לנסות ולשכנע את השר לפתוח את סגור קופת האוצר,kdi lnswt wlekny at her lptwx at sgwr qwpt hawcr
28939,ולהפנות משאבים,wlhpnwt meabim
28940,לנושא,lnwea
28941,יקח,iqx
28942,המנהלה,hmnhlh
28943,האדריכל,hadrikl
28944,את השר ופמלייתו לסיור גיפים,at her wpmliitw lsiwr gipim
28945,מכתש רמון,mkte rmwn
28946,זאת,zat
28947,לאחר שהשר ומלוויו יגיעו בטיסה לנגב,laxr eher wmlwwiw igiyw bvish lngb
28948,בתום סיור,btwm siwr
28949,יתקיים דיון בנושא פיתוח התיירות במצפה,itqiim diwn bnwea pitwx htiirwt bmcph
28950,רמון,rmwn
28951,מזכיר תנועת המושבים,mzkir tnwyt hmwebim
28952,פנה אתמול למבקרת המדינה,pnh atmwl lmbqrt hmdinh
28953,והתריע בפניה על תופעה של,whtriy bpnih yl twpyh el
28954,מפלגתי של משרד רשם האגודות השיתופיות,mplgti el merd rem hagwdwt heitwpiwt
28955,במכתב למבקרת המדינה טוען,bmktb lmbqrt hmdinh vwyn
28956,שהגיע לידיו חוזר שהופץ בין חברי הליכוד במושבי הדרום ובו הודעה על,ehgiy lidiw xwzr ehwpc bin xbri hlikwd bmwebi hdrwm wbw hwdyh yl
28957,פוליטי שבוצע במשרד רשם האגודות וקריאה לחברי הליכוד במושבים לנצל עמדה זו,pwlivi ebwcy bmerd rem hagwdwt wqriah lxbri hlikwd bmwebim lncl ymdh zw
28958,זווילי מציין שבאחרונה גוברת מגמת הניצול של משרד רשם האגודות לצרכים,zwwili mciin ebaxrwnh gwbrt mgmt hnicwl el merd rem hagwdwt lcrkim
28959,וכי הרשם עצמו,wki hrem ycmw
28960,מודע לבעיה זו,mwdy lbyih zw
28961,אך אין בכוחו להתמודד עמה,ak ain bkwxw lhtmwdd ymh
28962,קפכותתת,qpkwttt
28963,אלוף,alwp
28964,מיל,mil
28965,לשעבר מפקד חיל התותחנים,leybr mpqd xil htwtxnim
28966,מונה,mwnh
28967,מיכאל תעשיות אבן ושיש,mikal tyeiwt abn weie
28968,שהוקם בנצרת עלית בהשקעה של כ מיליון דולר,ehwqm bncrt ylit bheqyh el k miliwn dwlr
28969,המפעל,hmpyl
28970,שהינו היחיד מסוגו בארץ הוא בבעלותו של איש העסקים מנצרת,ehinw hixid mswgw barc hwa bbylwtw el aie hysqim mncrt
28971,למינויו של רשף נוהל המפעל על,lminwiw el rep nwhl hmpyl yl
28972,ידי בעליו,idi byliw
28973,שהיה בעבר קבלן בניין,ehih bybr qbln bniin
28974,ע,y
28975,העיתונאי מרדכי גילת טוען,hyitwnai mrdki gilt vwyn
28976,כי פרקליטות המדינה אינה,ki prqlivwt hmdinh ainh
28977,כלל לקלטת השיחה בינו לבין,kll lqlvt heixh binw lbin
28978,יעקב טרנר,iyqb vrnr
28979,הכרחית,hkrxit
28980,במשפטם,bmepvm
28981,המעורבים בהאזנות הסתר למכשיר הטלפון בביתו,hmywrbim bhaznwt hstr lmkeir hvlpwn bbitw
28982,גילת הגיש אתמול את,gilt hgie atmwl at
28983,לקראת הדיון בעתירתו נגד שר המשטרה,lqrat hdiwn bytirtw ngd er hmevrh
28984,ועדת,wydt
28985,של הכנסת,el hknst
28986,גילת השיג צו על תנאי,gilt heig cw yl tnai
28987,שהורה למשיבים לנמק מדוע לא יימנעו מלהשתמש,ehwrh lmeibim lnmq mdwy la iimnyw mlhetme
28988,או למסור פרטים,aw lmswr prvim
28989,לצד ג כלשהו,lcd g klehw
28990,בתוכן שיחות הטלפון שלו ושל משפחתו,btwkn eixwt hvlpwn elw wel mepxtw
28991,שהושג באמצעות האזנת סתר,ehweg bamcywt haznt str
28992,כמו כן האריך,kmw kn harik
28993,את צו הביניים האוסר על,at cw hbiniim hawsr yl
28994,לעשות כל שימוש בקלטת,lyewt kl eimwe bqlvt
28995,הצווים ניתנו לבקשת עורכי הדין פנחס מרינסקי,hcwwim nitnw lbqet ywrki hdin pnxs mrinsqi
28996,גרצולין,grcwlin
28997,המייצגים בשתי עתירות נפרדות,hmiicgim beti ytirwt nprdwt
28998,את גילת ואת העיתונאים זאב יפת,at gilt wat hyitwnaim zab ipt
28999,צבי הראל ויגאל גלאי,cbi hral wigal glai
29000,קפידבינמרדכי גילת מבחין בהודעתו,qpidbinmrdki gilt mbxin bhwdytw
29001,בין,bin
29002,בקלטת כראיה במשפט נגד המצותתים לשיחותיו,bqlvt kraih bmepv ngd hmcwttim leixwtiw
29003,לבין רצונו של היועץ,lbin rcwnw el hiwyc
29004,לממשלה יוסף חריש,lmmelh iwsp xrie
29005,לשמוע את הקלטת על רקע הטענות נגד,lemwy at hqlvt yl rqy hvynwt ngd
29006,טרנר,vrnr
29007,להיבט הראשון,lhibv hraewn
29008,גורס העיתונאי באמצעות,gwrs hyitwnai bamcywt
29009,מרינסקי,mrinsqi
29010,כי על פי המידע,ki yl pi hmidy
29011,ניתן להשיג הרשעה נגד המצותתים בהסתמך על חומר הראיות הקיים,nitn lheig hreyh ngd hmcwttim bhstmk yl xwmr hraiwt hqiim
29012,שכן,ekn
29013,ידיעתו החשודים הודו במעשים המיוחסים להם וחלקם אף נתפס בשעת מעשה,idiytw hxewdim hwdw bmyeim hmiwxsim lhm wxlqm ap ntps beyt myeh
29014,תוכן הקלטות אינה מהווה לכן,twkn hqlvwt ainh mhwwh lkn
29015,ראיה הכרחית,raih hkrxit
29016,במשפט,bmepv
29017,אלא,ala
29018,ראיה מועילה,raih mwyilh
29019,בלבד,blbd
29020,שניתן לוותר עליה,enitn lwwtr ylih
29021,גילת מדגיש,gilt mdgie
29022,כי אם יתברר שאין כל דרך,ki am itbrr eain kl drk
29023,להרשעה,lhreyh
29024,ללא שימוש בתוכן הקלטות,lla eimwe btwkn hqlvwt
29025,הרי,hri
29026,מבלי שהדבר יהווה תקדים לעתיד,mbli ehdbr ihwwh tqdim lytid
29027,הוא יתן את הסכמתו לכך,hwa itn at hskmtw lkk
29028,זאת,zat
29029,בתנאי שהשימוש יהיה במינימום ההכרחי,btnai eheimwe ihih bminimwm hhkrxi
29030,שהקטעים שיושמעו יתואמו עמו וכי המדינה תבקש שההליך ייעשה בדלתיים סגורות,ehqvyim eiwemyw itwamw ymw wki hmdinh tbqe ehhlik iiyeh bdltiim sgwrwt
29031,או תוך מתן צו איסור פרסום,aw twk mtn cw aiswr prswm
29032,לעומת זאת,lywmt zat
29033,דוחה גילת את טענתו של,dwxh gilt at vyntw el
29034,המשפטי חריש,hmepvi xrie
29035,כי הוא זכאי לשמוע את קלטת השיחה עם,ki hwa zkai lemwy at qlvt heixh ym
29036,לפי בקשת,lpi bqet
29037,הפנים של הכנסת,hpnim el hknst
29038,התקדים העלול להיווצר מהאזנה שכזו,htqdim hylwl lhiwwcr mhaznh ekzw
29039,מזהיר גילת,mzhir gilt
29040,יפתח פתח רחב דיו,iptx ptx rxb diw
29041,שיסכל הלכה למעשה את הפרטיות של כל איש ציבור,eiskl hlkh lmyeh at hprviwt el kl aie cibwr
29042,עבריין יוכל לבצע האזנת סתר,ybriin iwkl lbcy haznt str
29043,אחר כך לשגר קלטת לפאב פלוני,axr kk legr qlvt lpab plwni
29044,כזכור,kzkwr
29045,קלטת השיחה בין גילת לבין טרנר בפאב התל,qlvt heixh bin gilt lbin vrnr bpab htl
29046,אביבי זיגל,abibi zigl
29047,ולטעון כי,wlvywn ki
29048,הקלטת יש משום דברים שאינם הולמים איש ציבור,hqlvt ie mewm dbrim eainm hwlmim aie cibwr
29049,כך תוכשר הדרך להאזנה,kk twker hdrk lhaznh
29050,היועץ המשפטי לקלטות פסולות למיניהן,hiwyc hmepvi lqlvwt pswlwt lminihn
29051,ואף להסקת מסקנות לחובת,wap lhsqt msqnwt lxwbt
29052,ובדרך זו ייצא חוטא נשכר ותיפרץ כליל הזכות לפרטיות ולחיסיון העיתונאי,wbdrk zw iica xwva nekr wtiprc klil hzkwt lprviwt wlxisiwn hyitwnai
29053,פרקליטו של גילת הדגיש כי אין בחוק כל הנחייה שדווקא היועץ המשפטי לממשלה,prqlivw el gilt hdgie ki ain bxwq kl hnxiih edwwqa hiwyc hmepvi lmmelh
29054,הוא היחיד הרשאי לשמוע קלטות פסולות כאלה,hwa hixid hreai lemwy qlvwt pswlwt kalh
29055,לכן,lkn
29056,הוא אינו יכול,hwa ainw ikwl
29057,כזרוע לסיפוק הרצונות הפוליטיים של חברי ועדת הפנים,kzrwy lsipwq hrcwnwt hpwliviim el xbri wydt hpnim
29058,מן הראוי,mn hrawi
29059,לכל עבריין פוטנציאלי כי לא ייצא נשכר מהאזנות סתר,lkl ybriin pwvnciali ki la iica nekr mhaznwt str
29060,ומן הראוי,wmn hrawi
29061,מאיש ציבור,maie cibwr
29062,ויהיה זה,wihih zh
29063,או שר או שופט את הצורך לעמוד במצב בו,aw er aw ewpv at hcwrk lymwd bmcb bw
29064,לתת הסכמה,ltt hskmh
29065,או להיראות בחזקת מסתיר דבר,aw lhirawt bxzqt mstir dbr
29066,לשמיעת שיחה,lemiyt eixh
